Fechas,Temp_Int,Temp_Ext
2017-03-24 14:51:34,33.46,31.1
2017-03-24 14:51:38,33.33,31.08
2017-03-24 14:51:43,33.32,31.08
2017-03-24 14:51:53,33.29,31.08
2017-03-24 14:51:58,33.26,31.1
2017-03-24 15:21:15,33.27,31.08
2017-03-24 15:51:22,36.4,32.54
2017-03-24 16:21:29,39.53,33.82
2017-03-24 16:51:37,37.58,34.52
2017-03-24 17:21:45,37.16,34.83
2017-03-24 17:51:52,37.12,34.84
2017-03-24 18:21:59,36.01,34.58
2017-03-24 18:52:06,35.41,34.36
2017-03-24 22:56:02,30.49,33.23
2017-03-24 23:26:09,30.37,33.26
2017-03-24 23:56:16,30.25,33.33
2017-03-25 00:26:24,30.1,33.3
2017-03-25 00:56:31,29.77,33.15
2017-03-25 01:26:39,29.14,32.97
2017-03-25 01:56:46,28.78,32.73
2017-03-25 02:26:53,28.86,32.43
2017-03-25 02:57:00,28.14,32.37
2017-03-25 03:27:07,28.56,32.4
2017-03-25 03:57:14,28.45,32.17
2017-03-25 04:27:21,27.8,32.17
2017-03-25 04:57:28,25.73,32.11
2017-03-25 05:27:35,26.83,31.82
2017-03-25 05:57:42,26.73,31.75
2017-03-25 06:27:50,26.56,31.65
2017-03-25 06:57:57,26.17,31.42
2017-03-25 07:28:04,27.32,31.08
2017-03-25 07:58:13,29.29,30.94
2017-03-25 08:28:20,30.7,31.26
2017-03-25 08:58:27,32.88,31.71
2017-03-25 09:28:34,33.16,31.97
2017-03-25 09:58:41,34.19,32.06
2017-03-25 10:28:48,37.11,32.66
2017-03-25 10:58:56,38.23,33.42
2017-03-25 11:29:03,39.66,33.97
2017-03-25 11:59:10,40.69,34.84
2017-03-25 12:29:18,41.25,35.4
2017-03-25 12:59:25,41.95,36.07
2017-03-25 13:29:32,42.51,36.42
2017-03-25 13:59:39,42.2,36.55
2017-03-25 14:29:47,43.25,36.74
2017-03-25 14:59:54,43.64,36.69
2017-03-25 15:30:05,45.07,36.82
2017-03-25 16:00:12,45.48,37.02
2017-03-25 16:30:19,43.73,37
2017-03-25 17:00:28,42.17,37.11
2017-03-25 17:30:35,40.94,36.96
2017-03-25 18:00:43,39.43,36.48
2017-03-25 18:30:50,37.24,36.22
2017-03-25 19:00:58,35.41,35.42
2017-03-25 19:31:05,34.74,35.04
2017-03-25 20:01:12,33.76,34.67
2017-03-25 20:31:21,33.8,34.54
2017-03-25 21:01:28,33.12,34.35
2017-03-25 21:31:35,32.89,34.28
2017-03-25 22:02:01,31.39,34.25
2017-03-25 22:32:11,32.06,34.31
2017-03-25 23:02:24,31.76,34.13
2017-03-25 23:32:31,30.69,33.94
2017-03-26 00:02:38,30.86,33.82
2017-03-26 00:32:46,30.36,33.78
2017-03-26 01:02:53,30.18,33.63
2017-03-26 01:33:00,30.29,33.45
