Ambiental,DataLogger1,DataLogger2,DataLogger3,DataLogger4,DataLogger5
"40,3","41,7","38,9","39,3","37,9","37,4"
"38,9","40,2","38,1","38,4","37,4","37,1"
"38,3","39,3","37,8","37,9","37,2",37
"38,8","38,8","37,9","37,5",37,"37,1"
"39,3","38,5","38,3","37,3",37,"37,1"
"39,3","38,3","38,3","37,2","36,9","37,1"
"39,1",38,"38,3",37,"36,8","37,1"
39,38,"39,1","36,9","36,9","37,2"
"38,6","37,9","38,8","36,9","36,9","37,2"
"39,3","37,9",39,37,"36,9","37,2"
"39,7",38,"39,2",37,"36,9","37,2"
"38,8","37,9","39,1","37,1","36,9","37,3"
"39,6","37,9","39,2","37,1",37,"37,2"
39,38,"39,1","37,1","37,1","37,2"
"40,2","38,4","39,2","37,1",37,"37,4"
"39,4","38,6","39,5","37,1","37,2","37,4"
"39,1","38,5","39,9","37,2","37,4","37,4"
"40,4","38,5","39,8","37,2","37,5","37,4"
"38,9","38,5","39,9","37,2","37,9","37,2"
"39,7","38,6","39,5","37,2","38,2",37
"38,9","38,6","39,3","37,2","38,4","37,2"
"39,4","38,3","39,3","37,2","38,3","37,1"
"39,8","38,2",39,"37,2","38,3","37,3"
"40,1","38,1","38,9","37,2","38,2","37,3"
"40,8","38,1","39,2","37,2","38,3","37,4"
"39,2","37,9","39,2","37,3","38,4","37,3"
"40,1","37,9","39,3","37,4","38,3","37,5"
"39,2",38,"39,2","37,4","38,4","37,4"
"39,5",38,"38,8","37,4","38,4","37,5"
"39,1","37,7","38,4","37,4","38,4","37,4"
"39,4","37,7","38,4","37,5","38,5","37,4"
"39,6","37,7","37,8","37,4","38,3","37,2"
"38,9","37,7","37,5","37,3","38,4","37,1"
39,"37,6","37,4","37,3","38,2",37
39,"37,4","37,1","37,2",38,37
"38,4","37,3","36,8","37,2","37,8","36,8"
"38,6","37,1","36,5","37,2","37,8","36,7"
39,37,"36,3","37,1","37,8","36,7"
"38,9","36,8","36,1",37,"37,7","36,8"
"37,8","36,7",36,"37,1","37,5","36,6"
"38,4","36,5","35,8",37,"37,4","36,7"
"37,8","36,4","35,7","36,9","37,3","36,5"
"38,4","36,3","35,6","36,8","37,2","36,5"
"38,5","36,2","35,5","36,8","37,2","36,5"
"37,6","36,1","35,4","36,7","37,1","36,3"
"37,7","36,1","35,4","36,6",37,"36,3"
"37,4",36,"35,3","36,6","36,9","36,4"
"36,9",36,"35,3","36,5","36,8","36,4"
"37,4",36,"35,3","36,5","36,6","36,4"
"36,9",36,"35,3","36,4","36,5","36,3"
"36,8","35,9","35,2","36,4","36,5","36,2"
"36,5","35,9","35,2","36,4","36,4","36,1"
"36,6","35,8","35,2","36,4","36,4",36
"36,4","35,8","35,1","36,3","36,4",36
"36,2","35,7","35,1","36,2","36,3","36,1"
36,"35,7","35,1","36,2","36,3","36,1"
"35,8","35,7","35,1","36,2","36,2",36
"35,7","35,6","35,1","36,2","36,2",36
"35,3","35,6","35,1","36,2","36,2",36
"35,3","35,6","35,1","36,2","36,1","35,9"
"35,1","35,6",35,"36,2",36,"35,9"
"34,9","35,6",35,"36,3","35,9","35,9"
"34,7","35,6",35,"36,3","35,8","35,8"
"34,3","35,6","34,9","36,3","35,7","35,8"
"34,1","35,6","34,9","36,2","35,6","35,8"
"33,7","35,5","34,9","36,2","35,4","35,7"
"33,9","35,5","34,8","36,1","35,4","35,7"
"33,7","35,5","34,8","36,1","35,2","35,7"
"33,6","35,5","34,7",36,"35,1","35,5"
"33,6","35,5","34,7",36,"35,1","35,6"
"33,3","35,5","34,7",36,"35,1","35,5"
"33,1","35,6","34,7","35,9","35,1","35,5"
"33,1","35,6","34,7",36,35,"35,5"
33,"35,6","34,7","35,9","35,1","35,4"
"32,8","35,6","34,7",36,"35,1","35,4"
"32,8","35,5","34,7",36,35,"35,4"
"32,4","35,5","34,7","36,2",35,"35,4"
"32,3","35,4","34,7","36,2","34,9","35,3"
"32,3","35,4","34,7","36,2","34,8","35,3"
"32,1","35,5","34,7","36,1","34,8","35,2"
"31,8","35,4","34,7","36,2","34,8","35,2"
"31,8","35,4","34,7","36,2","34,8","35,1"
"31,7","35,3","34,7","36,2","34,8","35,2"
"31,5","35,3","34,7","36,2","34,8","35,2"
"31,3","35,3","34,7","36,1","34,7","35,2"
"31,2","35,3","34,7","36,1","34,6","35,1"
31,"35,3","34,7","36,1","34,5",35
"30,8","35,3","34,6",36,"34,5",35
"30,6","35,3","34,6",36,"34,4","34,9"
"30,4","35,4","34,6",36,"34,4","34,9"
"30,2","35,4","34,6",36,"34,4","34,8"
"30,2","35,4","34,6",36,"34,3","34,8"
"30,1","35,4","34,5",36,"34,3","34,8"
"29,9","35,4","34,5",36,"34,3","34,8"
"29,8","35,5","34,5",36,"34,3","34,6"
"29,5","35,5","34,5",36,"34,4","34,5"
"29,4","35,4","34,5",36,"34,4","34,6"
"29,3","35,5","34,5",36,"34,4","34,5"
"29,1","35,5","34,4",36,"34,4","34,5"
"28,9","35,5","34,4",36,"34,3","34,4"
"28,9","35,5","34,3",36,"34,3","34,3"
"28,7","35,5","34,3","35,9","34,3","34,2"
"28,4","35,5","34,3","35,9","34,3","34,3"
"28,2","35,5","34,3","35,9","34,3","34,3"
"28,1","35,3","34,3","35,8","34,2","34,3"
"28,1","35,3","34,2","35,8","34,2","34,3"
"27,9","35,3","34,2","35,8","34,3","34,2"
"27,8","35,3","34,2","35,8","34,3","34,2"
"27,7","35,3","34,1","35,8","34,3",34
"27,7","35,3","34,1","35,8","34,3","33,9"
"27,5","35,2","34,1","35,9","34,3","33,9"
"27,3","35,2","34,1","35,9","34,3","33,8"
"27,3","35,2","34,1","35,9","34,3","33,7"
"27,2","35,2","34,1",36,"34,2","33,7"
"26,9","35,2",34,36,"34,2","33,7"
27,"35,1",34,"35,9","34,2","33,7"
"26,9","35,1","33,9","35,8","34,2","33,7"
"26,8","35,2","33,9","35,7","34,1","33,6"
"26,7","35,2","33,9","35,7","34,1","33,7"
"26,6","35,2","33,8","35,7","34,1","33,6"
"26,6","35,2","33,7","35,7","34,1","33,5"
