Fechas,TEMP-EXT,TEMP-INT,HUM-INT,HUM-EXT
2017-03-24 14:51:34,33.46,31.1,46.77,33.76
2017-03-24 14:51:38,33.33,31.08,47.56,33.79
2017-03-24 14:51:43,33.32,31.08,47.72,33.28
2017-03-24 14:51:53,33.29,31.08,48.1,33.63
2017-03-24 14:51:58,33.26,31.1,48.49,33.51
2017-03-24 15:21:15,33.27,31.08,48.78,33.74
2017-03-24 15:51:22,36.4,32.54,63.24,30.29
2017-03-24 16:21:29,39.53,33.82,42.32,26.31
2017-03-24 16:51:37,37.58,34.52,42.11,23.99
2017-03-24 17:21:45,37.16,34.83,47.45,22.56
2017-03-24 17:51:52,37.12,34.84,48.23,23.57
2017-03-24 18:21:59,36.01,34.58,43.71,24.04
2017-03-24 18:52:06,35.41,34.36,55.42,25.88
2017-03-24 22:56:02,30.49,33.23,53.13,42.55
2017-03-24 23:26:09,30.37,33.26,55.25,43.51
2017-03-24 23:56:16,30.25,33.33,61.11,45.18
2017-03-25 00:26:24,30.1,33.3,60.21,46.36
2017-03-25 00:56:31,29.77,33.15,60.01,47.88
2017-03-25 01:26:39,29.14,32.97,67.02,49.69
2017-03-25 01:56:46,28.78,32.73,61.17,50.54
2017-03-25 02:26:53,28.86,32.43,61.59,50.1
2017-03-25 02:57:00,28.14,32.37,62.64,52.49
2017-03-25 03:27:07,28.56,32.4,63.55,49.59
2017-03-25 03:57:14,28.45,32.17,64.96,50.05
2017-03-25 04:27:21,27.8,32.17,68.66,49.61
2017-03-25 04:57:28,25.73,32.11,67.23,52.81
2017-03-25 05:27:35,26.83,31.82,72.42,49.93
2017-03-25 05:57:42,26.73,31.75,69,52.13
2017-03-25 06:27:50,26.56,31.65,68.99,53.2
2017-03-25 06:57:57,26.17,31.42,65.93,55.34
2017-03-25 07:28:04,27.32,31.08,70.71,53.68
2017-03-25 07:58:13,29.29,30.94,69.6,51.69
2017-03-25 08:28:20,30.7,31.26,68.34,49.27
2017-03-25 08:58:27,32.88,31.71,63.78,44.42
2017-03-25 09:28:34,33.16,31.97,59.98,43.17
2017-03-25 09:58:41,34.19,32.06,56.51,38.38
2017-03-25 10:28:48,37.11,32.66,57.1,34.13
2017-03-25 10:58:56,38.23,33.42,50.46,29.96
2017-03-25 11:29:03,39.66,33.97,51.42,28.09
2017-03-25 11:59:10,40.69,34.84,43.83,22.58
2017-03-25 12:29:18,41.25,35.4,43.62,21.75
2017-03-25 12:59:25,41.95,36.07,42.32,20.64
2017-03-25 13:29:32,42.51,36.42,43.39,18.51
2017-03-25 13:59:39,42.2,36.55,39.32,20.84
2017-03-25 14:29:47,43.25,36.74,34.26,18.29
2017-03-25 14:59:54,43.64,36.69,35.66,16.05
2017-03-25 15:30:05,45.07,36.82,33.63,17.17
2017-03-25 16:00:12,45.48,37.02,32.61,16.56
2017-03-25 16:30:19,43.73,37,28.89,16.1
2017-03-25 17:00:28,42.17,37.11,35.92,16.66
2017-03-25 17:30:35,40.94,36.96,44.54,17.93
2017-03-25 18:00:43,39.43,36.48,48.76,20.89
2017-03-25 18:30:50,37.24,36.22,57.23,32.91
2017-03-25 19:00:58,35.41,35.42,49.26,35.87
2017-03-25 19:31:05,34.74,35.04,57.88,38.42
2017-03-25 20:01:12,33.76,34.67,47.59,41.67
2017-03-25 20:31:21,33.8,34.54,52.69,41.79
2017-03-25 21:01:28,33.12,34.35,59.27,44.5
2017-03-25 21:31:35,32.89,34.28,60.92,44.5
2017-03-25 22:02:01,31.39,34.25,57.9,48.34
2017-03-25 22:32:11,32.06,34.31,64.04,45.33
2017-03-25 23:02:24,31.76,34.13,59.78,46.68
2017-03-25 23:32:31,30.69,33.94,59.81,49.15
2017-03-26 00:02:38,30.86,33.82,61.01,48.37
2017-03-26 00:32:46,30.36,33.78,60.79,47.66
2017-03-26 01:02:53,30.18,33.63,62.64,46.51
2017-03-26 01:33:00,30.29,33.45,61.23,44.96
2017-03-26 02:03:07,29.54,33.23,63.46,47.12
2017-03-26 02:33:14,29.43,33.12,68.93,47.68
2017-03-26 03:03:52,29.04,32.94,64.68,47.34
2017-03-26 03:34:05,28.68,32.81,65.31,47.44
2017-03-26 04:04:15,28.51,32.76,64.89,47.81
2017-03-26 04:34:35,28.2,32.68,64.37,48.42
2017-03-26 05:04:47,28.25,32.56,70.1,49.66
2017-03-26 06:36:00,28.06,32.49,66,54.46
2017-03-26 07:06:29,28.93,31.8,65.17,52.69
2017-03-26 07:36:50,29.64,31.72,65.81,53.32
2017-03-26 08:06:57,30.29,31.7,63.38,52.91
2017-03-26 08:37:04,31.49,31.91,61.45,51.1
2017-03-26 09:07:11,32.72,32.18,62.47,48.17
2017-03-26 09:37:19,34.64,32.79,63.14,41.59
2017-03-26 10:07:26,37.31,33.22,59.66,34.78
2017-03-26 10:37:33,39,34.18,51.33,29.54
2017-03-26 11:07:40,41.19,35,54.93,26.23
2017-03-26 11:37:47,42.72,36.07,45.17,22.48
2017-03-26 12:07:55,42.05,37.03,38.65,22.68
2017-03-26 12:38:02,44.01,37.32,39.6,19.55
2017-03-26 13:08:09,43.67,37.87,40.32,20.48
2017-03-26 13:38:16,42.75,38.16,34.24,21.19
2017-03-26 14:08:24,44.26,38.19,34.55,19.27
2017-03-26 14:38:31,43.79,37.83,34.2,19.9
2017-03-26 15:08:38,42.86,37.91,45.46,20.11
2017-03-26 15:38:45,43.64,37.97,32.34,17.12
2017-03-26 16:08:53,44.75,38.06,30.82,17.42
2017-03-26 16:39:00,43.5,38.08,30.15,17.55
2017-03-26 17:09:07,41.99,37.7,30.7,17.52
2017-03-26 17:39:14,39.43,37.38,37.39,27.14
2017-03-26 18:09:22,37.38,36.53,39.74,30.64
2017-03-26 18:39:29,35.99,35.99,41.53,33.91
2017-03-26 19:09:36,35.13,35.44,39.15,36.02
2017-03-26 19:39:43,34.16,35.06,46.35,37.76
2017-03-26 20:09:50,34.05,34.87,49.75,37.93
2017-03-26 20:39:57,33.05,34.74,50.01,41.71
2017-03-26 21:10:05,33.58,34.59,53.77,39.88
2017-03-26 21:40:12,33.23,34.65,52.35,40.38
2017-03-26 22:10:19,31.73,34.36,56.34,39.47
2017-03-26 22:40:26,31.76,34.25,56.94,39.47
2017-03-26 23:10:33,31.77,34.26,57.2,39.69
2017-03-26 23:40:41,31.82,34.31,60.19,40.11
2017-03-27 00:10:48,31.39,34.35,58.98,43.26
2017-03-27 00:40:55,30.96,34.18,61.12,46.29
2017-03-27 01:11:02,30.47,34.01,57.98,50.61
2017-03-27 01:41:09,29.98,33.91,58.91,52.64
2017-03-27 02:11:16,30.66,33.88,57.63,50.44
2017-03-27 02:41:23,30.33,33.85,58.37,51.47
2017-03-27 03:11:30,30.18,33.89,61.77,51
2017-03-27 03:41:37,30.26,33.79,58.69,50.39
2017-03-27 04:11:44,29.43,33.85,61.33,53.73
2017-03-27 04:41:51,29.16,33.68,60.9,54.27
