Fechas,TEMP-EXT,TEMP-INT
2017-04-05 08:29:53,36.06,33.75
2017-04-05 08:59:56,37.52,35.06
2017-04-05 10:00:02,40.29,37.11
2017-04-05 10:30:04,42.05,37.91
2017-04-05 11:00:07,43.98,38.51
2017-04-05 11:30:10,45.09,39.28
2017-04-05 12:00:13,45.88,39.33
2017-04-05 12:30:16,47.07,39.32
2017-04-05 13:00:19,47.17,39.42
2017-04-05 13:30:22,47.97,39.69
2017-04-05 14:00:25,49.09,39.76
2017-04-05 14:30:28,49.33,39.98
2017-04-05 15:00:31,50.94,40.38
2017-04-05 15:30:34,50.19,40.68
2017-04-05 16:00:36,45.74,38.74
2017-04-05 16:30:39,42.17,38.32
2017-04-05 17:00:42,39.49,37.38
2017-04-05 17:30:45,38.17,36.12
2017-04-05 18:00:48,36.79,35.71
2017-04-05 18:30:51,35.39,35.16
2017-04-05 19:00:53,34.88,34.81
2017-04-05 19:30:56,33.77,33.96
2017-04-05 20:00:59,32.19,32.24
2017-04-05 20:31:02,32.34,32.37
2017-04-05 21:01:04,31.93,32.52
2017-04-05 21:31:07,32.19,32.49
2017-04-05 22:01:10,31.9,32.22
2017-04-05 22:31:12,31.89,31.99
2017-04-05 23:01:15,31.63,31.86
2017-04-05 23:31:18,31.37,31.68
2017-04-06 00:01:21,30.94,31.64
2017-04-06 00:31:23,30.67,31.13
2017-04-06 01:01:26,30.34,31.19
2017-04-06 01:31:29,30.23,31.1
2017-04-06 02:01:31,30.34,30.9
2017-04-06 02:31:34,30.31,30.64
2017-04-06 03:01:37,29.86,30.62
2017-04-06 03:31:39,29.62,30.57
2017-04-06 04:01:42,29.25,30.53
2017-04-06 04:31:45,29.46,30.62
2017-04-06 05:01:47,29.51,30.59
2017-04-06 05:31:50,29.58,31.16
2017-04-06 06:01:53,28.94,31.71
2017-04-06 06:31:55,30.14,31.53
2017-04-06 07:01:58,30.97,31.86
2017-04-06 07:32:01,33.07,32.86
2017-04-06 08:02:03,34.5,33.53
2017-04-06 08:32:06,37.01,34.63
2017-04-06 09:02:09,37.54,35.76
2017-04-06 09:32:12,39.07,36.84
2017-04-06 10:02:15,40.36,37.07
2017-04-06 10:32:17,39.59,36.64
2017-04-06 11:02:20,39.94,36.93
2017-04-06 11:32:23,39.66,37.37
2017-04-06 12:02:26,40.78,37.69
2017-04-06 12:32:29,39.08,37.01
2017-04-06 13:02:32,38.49,37.81
2017-04-06 13:32:34,38.3,37.31
2017-04-06 14:02:37,40.31,38.65
2017-04-06 14:32:40,40.54,38.65
2017-04-06 15:02:43,39.38,38.08
2017-04-06 15:32:46,36.61,36.91
2017-04-06 16:02:48,34.54,35.68
2017-04-06 16:32:51,33.88,34.8
2017-04-06 17:02:54,32.53,34.23
2017-04-06 17:32:57,31.31,33.4
2017-04-06 18:02:59,30.26,32.49
2017-04-06 18:33:02,30.26,31.91
2017-04-06 19:03:05,29.6,31.43
2017-04-06 19:33:07,29.62,30.99
2017-04-06 20:03:10,29.68,30.95
2017-04-06 20:33:13,29.46,30.62
2017-04-06 21:03:15,29.15,30.39
2017-04-06 21:33:18,29.57,30.47
2017-04-06 22:03:21,29.5,30.76
2017-04-06 22:33:23,29.5,31.06
2017-04-06 23:03:26,29.68,31.08
2017-04-06 23:33:29,29.58,31.05
2017-04-07 00:03:31,29.36,31.06
2017-04-07 00:33:34,29.19,31.02
2017-04-07 01:03:37,29.38,31.1
2017-04-07 01:33:39,29.45,31.03
2017-04-07 02:03:42,29.06,31.25
2017-04-07 02:33:45,29.13,30.98
2017-04-07 03:03:47,28.78,30.79
